method,28414556
system,10356703
apparatus,10124554
device,8457082
process,3596278
assembly,2288303
composition,2070891
circuit,1324700
medium,1275808
compound,1049598
structure,817682
product,699884
machine,582031
unit,547292
combination,525227
arrangement,493574
article,486182
defined,474387
module,389175
tool,361790
element,357381
mechanism,338520
sensor,332369
invention,324840
connector,322073
material,301855
the,288021
cell,272641
vehicle,261803
container,252524
valve,250101
recited,246072
package,240742
head,231464
controller,212764
instrument,197792
engine,196052
kit,190131
panel,179666
component,170472
display,166355
terminal,165723
member,162069
improvement,154802
media,153400
switch,149831
receiver,148401
filter,145611
pump,140882
station,140465
processor,137562
network,136985
substrate,133903
claimed,132117
generator,131046
film,129755
cartridge,129237
memory,126700
means,121546
detector,121018
array,120957
motor,119348
converter,117742
lens,117421
adapted,114261
holder,113440
battery,110908
antenna,109307
program,107421
dispenser,106987
camera,106005
amplifier,104425
configured,100898
printer,95068
drive,93719
server,93151
lamp,91833
plant,91087
actuator,90620
formulation,87566
appliance,86702
cover,84503
board,84328
a,83420
source,83049
transmission,82899
plate,82836
implant,82268
set,82127
produced,81391
catheter,81242
sheet,80731
equipment,80590
computer,80308
transistor,78748
construction,77643
carrier,76348
frame,75663
node,75511
support,74902
body,73509
probe,73301
tube,69896
polymer,67952
transmitter,65946
compressor,65892
cable,64147
transducer,63874
interface,62845
fixture,62011
capacitor,62001
catalyst,61891
electrode,61458
seat,60939
described,60915
housing,60129
case,59155
laser,57593
vector,56728
plurality,56516
box,56447
adapter,56109
card,55215
joint,53683
ball,53617
chip,52721
polypeptide,52437
prosthesis,52422
tire,52191
nozzle,51846
exchanger,51712
molecule,51306
installation,51086
blade,51053
agent,50972
supply,50325
solution,50055
mixture,49766
bearing,49372
coupling,49363
seal,48029
reactor,47984
capable,47641
instructions,47205
composite,47133
enclosure,46324
bag,46135
insert,45691
cleaner,45583
fiber,45546
lock,45486
form,45153
formed,44327
circuitry,43322
regulator,43180
pad,42842
separator,41796
cap,41761
closure,41392
fastener,41365
attachment,41015
driver,40890
clamp,40794
garment,40632
plug,40581
part,40192
applicator,40179
pack,39988
vessel,39950
fabric,39704
copolymer,39132
modulator,38253
stand,38113
platform,38030
press,37931
chair,37778
block,37733
bracket,37650
rack,37367
membrane,37287
chamber,37199
meter,36910
antibody,36730
heater,36206
laminate,36096
control,36094
protein,35414
bit,35270
oscillator,35262
refrigerator,35204
injector,35169
used,35071
selected,34769
toner,34725
table,34639
diode,34613
essentially,34535
use,34380
implement,34361
turbine,34143
seed,33813
decoder,33766
microscope,33630
transceiver,33619
clip,33336
preparation,33306
rotor,33171
guide,33109
complex,33012
aircraft,32995
mount,32911
cassette,32753
stent,32438
suitable,32170
toy,31867
encoder,31677
thereof,31555
ink,31459
wheel,31452
scanner,31435
feeder,31262
mask,31160
conveyor,31077
coupler,30951
an,30885
made,30791
game,30747
salt,30604
spectrometer,30580
analyzer,30575
belt,30487
shoe,30453
derivative,30241
monitor,29816
gun,29773
projector,29713
aid,29711
blank,29428
indicator,29272
dispersion,29184
prepared,29069
suspension,29069
screen,29063
tray,28993
reader,28872
tank,28597
furnace,28454
fitting,28396
encoded,28312
executed,28222
line,28045
alloy,27901
ue,27496
strip,27315
consisting,27307
clutch,27295
brake,27133
robot,27111
accessory,27063
ring,26991
connection,26772
oven,26489
represented,26409
breaker,26278
coating,26026
mold,25955
polynucleotide,25657
acid,25638
light,25522
obtained,25464
section,25453
architecture,25414
emulsion,25113
provided,25060
performed,24832
shield,24820
damper,24531
peptide,24498
door,24477
socket,24427
handle,24093
receptacle,24071
configuration,23704
compounds,23633
conjugate,23501
having,23494
construct,23189
cart,23162
die,23095
stack,23001
pair,22913
layer,22821
tape,22748
resonator,22594
transformer,22477
fluid,22273
burner,22213
cabinet,22038
resin,22012
hinge,21997
syringe,21908
covering,21518
lead,21514
sleeve,21298
absorber,21244
protector,20987
anchor,20962
mirror,20927
conditioner,20907
base,20746
connected,20611
pipe,20587
roller,20548
disk,20379
particle,20291
fan,20267
wrench,20227
bar,20186
blend,19970
bed,19947
cutter,19932
adhesive,19811
operable,19692
tag,19402
cylinder,19387
liner,19230
subsystem,19159
mixer,19148
wire,19142
roll,18883
embodied,18783
gauge,18711
disc,18693
ic,18579
powder,18405
trap,18364
collector,18356
reel,18231
useful,18190
glass,18125
coil,17892
carton,17794
saw,17725
executable,17683
barrier,17635
core,17633
guard,17605
facility,17539
chuck,17504
devices,17341
keyboard,17277
hanger,17200
printhead,17160
piece,17121
relay,17081
waveguide,16946
endoscope,16751
router,16671
retractor,16638
luminaire,16606
latch,16582
stored,16551
dryer,16516
loop,16435
trailer,16428
culture,16408
glove,16368
timepiece,16358
watercraft,16294
mill,16056
surface,16036
truck,15899
implemented,15847
microprocessor,15808
analog-,15763
point,15756
gasket,15731
lid,15649
arm,15568
stage,15538
wafer,15497
boot,15480
toothbrush,15474
buffer,15418
train,15307
mounted,15305
analog,15252
tester,15103
mat,15070
tablet,15062
wall,14979
contact,14890
particles,14833
shaft,14777
window,14757
charger,14699
adaptor,14648
label,14643
recorder,14612
casing,14576
center,14517
concentrate,14430
storage,14388
simulator,14330
telephone,14245
club,14238
developer,14180
helmet,14094
player,14047
barrel,14032
sequence,14030
rod,13967
column,13926
target,13822
binding,13805
chain,13793
matrix,13720
retainer,13696
knife,13618
brush,13389
foam,13301
capsule,13295
manifold,13293
brace,13256
piston,13222
cushion,13178
projectile,13125
procedure,13077
dressing,13025
dishwasher,12983
hub,12969
additive,12900
synthesizer,12859
harvester,12851
tip,12756
screw,12666
fragment,12635
code,12632
thereon,12454
mower,12393
electrolyte,12373
gear,12338
drum,12268
firearm,12257
segment,12093
object,12067
characterized,12034
boat,12005
readable,11985
bottle,11967
web,11843
vaccine,11806
reagent,11805
link,11776
combustor,11754
shifter,11748
phone,11719
jack,11677
pallet,11654
register,11650
subassembly,11632
spacer,11613
paper,11526
portion,11501
cooler,11485
flowmeter,11484
spring,11470
pick-,11461
gateway,11426
gate,11387
binder,11386
marker,11378
lure,11351
compositions,11285
reflector,11173
stator,11128
stabilizer,11022
slider,11020
inverter,10991
airfoil,10961
jig,10881
harness,10870
sprinkler,10848
coupled,10822
signal,10821
car,10819
bicycle,10816
mattress,10709
and,10660
dye,10644
fuse,10609
drill,10578
assay,10575
precursor,10494
arranged,10467
magazine,10377
bridge,10355
resistor,10345
based,10320
loudspeaker,10239
needle,10175
sequences,10175
cup,10152
inductor,9848
hose,9836
ballast,9810
equalizer,9768
distributor,9751
diaper,9661
wheelchair,9600
port,9584
microphone,9534
chassis,9512
equipped,9509
cage,9496
pin,9486
patch,9461
oligonucleotide,9439
rail,9403
flashlight,9395
software,9374
entity,9341
slurry,9308
muffler,9199
tensioner,9156
photoreceptor,9147
end,9145
conduit,9096
counter,9048
booster,8993
isolator,8950
logic,8910
manager,8905
adjuster,8903
motorcycle,8887
demodulator,8882
interrupter,8878
sole,8876
wtru,8859
bath,8853
divider,8845
sign,8775
band,8744
modem,8744
photoconductor,8744
interferometer,8741
gyroscope,8734
watch,8707
lift,8693
centrifuge,8674
roof,8666
mounting,8650
beam,8537
pen,8514
cathode,8494
washer,8490
magnet,8479
attenuator,8456
collar,8444
paste,8414
speaker,8385
biosensor,8381
reservoir,8378
pickup,8359
inhaler,8314
pixel,8294
objective,8281
imager,8279
multiplexer,8264
grip,8263
mouse,8259
workstation,8220
transformed,8207
sink,8200
carburetor,8193
environment,8187
scale,8101
mountable,8098
conductor,8076
cigarette,8076
graft,8063
shell,8046
pigment,8025
photodetector,8021
item,8017
anode,8013
crane,8005
disposed,7985
variant,7945
steel,7938
accelerometer,7911
blower,7899
pillow,7898
buckle,7897
building,7853
framework,7852
torch,7851
liquid,7825
